name,argument,role,value_types
bubblelegend,titletext,Title text,"'', character vector, cell array of character vectors, string array"
bubblelim,ax,Target axes,"Axes object, PolarAxes object, GeographicAxes object"
bubblelim,limits,Data limits,two-element vector
bubblelim,modevalue,Mode value,"'auto', 'manual'"
bubblesize,ax,Target axes,"Axes object, PolarAxes object, GeographicAxes object"
bubblesize,sizerange,Size range,two-element vector
builddocsearchdb,folder,Full path to folder with HTML files,character vector
builtin,function,Built-in function name,"character vector, string scalar"
builtin,"x1,...,xn",Valid input arguments for function,supported data types
bvp4c,bcfun,Boundary conditions,function handle
bvp4c,odefun,Functions to solve,function handle
bvp4c,options,Option structure,structure
bvp4c,solinit,Initial guess of solution,structure
bvp5c,bcfun,Boundary conditions,function handle
bvp5c,odefun,Functions to solve,function handle
bvp5c,options,Option structure,structure
bvp5c,solinit,Initial guess of solution,structure
bvpget,default,ordered,"numeric, char, function_handle"
bvpget,name,required,"char, choices={'AbsTol', 'RelTol', 'SingularTerm', 'FJacobian', 'BCJacobian', 'Stats', 'Nmax', 'Vectorized'}"
bvpget,options,required,struct
bvpinit,parameters,Initial guess for unknown parameter values,"scalar, vector"
bvpinit,sol,Prior solution,structure
bvpinit,x,Initial mesh,vector
bvpinit,yinit,Initial guess of solution,"vector, function"
bvpset,AbsTol,namevalue,"numeric, vector, >0"
bvpset,BCJacobian,namevalue,"function_handle, cell"
bvpset,FJacobian,namevalue,"function_handle, numeric, cell"
bvpset,Nmax,namevalue,"numeric, scalar"
bvpset,RelTol,namevalue,"numeric, scalar, >0"
bvpset,SingularTerm,namevalue,numeric
bvpset,Stats,namevalue,"char, choices={'on','off'}"
bvpset,Vectorized,namevalue,"char, choices={'on','off'}"
bvpset,oldopts,ordered,struct
bvpxtend,pnew,ordered,"numeric, scalar"
bvpxtend,sol,required,struct
bvpxtend,xnew,required,"numeric, scalar"
calendar,c,,
calendar,m,,
callSoapService,endpoint,URL identifying a built-in HTTP service,string
callSoapService,message,Java document object model (DOM),string
callSoapService,soapAction,Name of service,string
calllib,"arg1,...,argN",Input arguments,any type
calllib,funcname,Name of function in library,character vector
calllib,libname,Name of shared library,character vector
camdolly,ax,,
camdolly,coordsys,,
camdolly,dx,,
camdolly,dy,,
camdolly,dz,,
camdolly,targetmode,,
cameratoolbar,varargin,,
camlight,varargin,,
camlookat,h,,
camorbit,ax,,
camorbit,coordsys,,
camorbit,direction,,
camorbit,dphi,,
camorbit,dtheta,,
campan,ax,,
campan,coordsys,,
campan,direction,,
campan,dphi,,
campan,dtheta,,
campos,arg1,,
campos,arg2,,
camproj,arg1,,
camproj,arg2,,
camroll,arg1,,
camroll,arg2,,
camtarget,arg1,,
camtarget,arg2,,
camup,arg1,,
camup,arg2,,
camva,arg1,,
camva,arg2,,
camzoom,arg1,,
camzoom,arg2,,
