class,property,summary
matlab.graphics.axis.GeographicAxes,HitTest,Response to captured mouse clicks
matlab.graphics.axis.GeographicAxes,InnerPosition,Inner size and location
matlab.graphics.axis.GeographicAxes,Interactions,Interactions
matlab.graphics.axis.GeographicAxes,Interruptible,Callback interruption
matlab.graphics.axis.GeographicAxes,LabelFontSizeMultiplier,Scale factor for label font size
matlab.graphics.axis.GeographicAxes,LatitudeAxis,Latitude ruler
matlab.graphics.axis.GeographicAxes,LatitudeLabel,Latitude axis label
matlab.graphics.axis.GeographicAxes,LatitudeLimits,Latitude limits of map
matlab.graphics.axis.GeographicAxes,Layout,Layout options
matlab.graphics.axis.GeographicAxes,Legend,Legend associated with geographic axes
matlab.graphics.axis.GeographicAxes,LineStyleOrder,Line style order
matlab.graphics.axis.GeographicAxes,LineStyleOrderIndex,Line style order index
matlab.graphics.axis.GeographicAxes,LineWidth,Width of lines
matlab.graphics.axis.GeographicAxes,LongitudeAxis,Longitude ruler
matlab.graphics.axis.GeographicAxes,LongitudeLabel,Longitude axis label
matlab.graphics.axis.GeographicAxes,LongitudeLimits,Longitude limits of map
matlab.graphics.axis.GeographicAxes,MapCenter,Center point of map in latitude and longitude
matlab.graphics.axis.GeographicAxes,MapCenterMode,Selection mode for map center
matlab.graphics.axis.GeographicAxes,NextPlot,Properties to reset
matlab.graphics.axis.GeographicAxes,NextSeriesIndex,SeriesIndex value for next object
matlab.graphics.axis.GeographicAxes,OuterPosition,"Size and position of geographic axes, including labels and margins"
matlab.graphics.axis.GeographicAxes,Parent,Parent container
matlab.graphics.axis.GeographicAxes,PickableParts,Ability to capture mouse clicks
matlab.graphics.axis.GeographicAxes,Position,"Size and position of geographic axes, not including labels or margins"
matlab.graphics.axis.GeographicAxes,PositionConstraint,Position to hold constant
matlab.graphics.axis.GeographicAxes,Scalebar,Scale bar showing proportional distances on map
matlab.graphics.axis.GeographicAxes,Selected,Selection state
matlab.graphics.axis.GeographicAxes,SelectionHighlight,Display of selection handles
matlab.graphics.axis.GeographicAxes,SortMethod,Order for rendering objects
matlab.graphics.axis.GeographicAxes,Subtitle,Text object for subtitle
matlab.graphics.axis.GeographicAxes,SubtitleFontWeight,Subtitle character thickness
matlab.graphics.axis.GeographicAxes,Tag,Object identifier
matlab.graphics.axis.GeographicAxes,TickDir,Tick mark direction
matlab.graphics.axis.GeographicAxes,TickDirMode,Selection mode for tick mark direction
matlab.graphics.axis.GeographicAxes,TickLabelFormat,Tick label format
matlab.graphics.axis.GeographicAxes,TickLength,Tick mark length
matlab.graphics.axis.GeographicAxes,TightInset,Margins for text labels
matlab.graphics.axis.GeographicAxes,Title,Axes title
matlab.graphics.axis.GeographicAxes,TitleFontSizeMultiplier,Scale factor for title font size
matlab.graphics.axis.GeographicAxes,TitleFontWeight,Title character thickness
matlab.graphics.axis.GeographicAxes,TitleHorizontalAlignment,Title and subtitle horizontal alignment
matlab.graphics.axis.GeographicAxes,Toolbar,Data exploration toolbar
matlab.graphics.axis.GeographicAxes,Type,Type of graphics object
matlab.graphics.axis.GeographicAxes,Units,Position units
matlab.graphics.axis.GeographicAxes,UserData,User data
matlab.graphics.axis.GeographicAxes,Visible,State of visibility
matlab.graphics.axis.GeographicAxes,ZoomLevel,Magnification level of map
matlab.graphics.axis.GeographicAxes,ZoomLevelMode,Selection mode for zoom level
matlab.graphics.axis.PolarAxes,ALim,Alpha limits for alphamap
matlab.graphics.axis.PolarAxes,ALimMode,Selection mode for ALim
matlab.graphics.axis.PolarAxes,AlphaScale,Scale for transparency mapping
matlab.graphics.axis.PolarAxes,Alphamap,Transparency map
matlab.graphics.axis.PolarAxes,BeingDeleted,Deletion status
matlab.graphics.axis.PolarAxes,Box,Outline around polar axes
matlab.graphics.axis.PolarAxes,BusyAction,Callback queuing
matlab.graphics.axis.PolarAxes,ButtonDownFcn,Mouse-click callback
matlab.graphics.axis.PolarAxes,CLim,Color limits for colormap
matlab.graphics.axis.PolarAxes,CLimMode,Selection mode for CLim
matlab.graphics.axis.PolarAxes,Children,Children
matlab.graphics.axis.PolarAxes,Clipping,Clipping of objects to polar axes boundary
matlab.graphics.axis.PolarAxes,Color,Background color
matlab.graphics.axis.PolarAxes,ColorOrder,Color order
matlab.graphics.axis.PolarAxes,ColorOrderIndex,Color order index
matlab.graphics.axis.PolarAxes,ColorScale,Scale for color mapping
matlab.graphics.axis.PolarAxes,Colormap,Color map
matlab.graphics.axis.PolarAxes,ContextMenu,Context menu
matlab.graphics.axis.PolarAxes,CreateFcn,Creation function
matlab.graphics.axis.PolarAxes,CurrentPoint,Location of mouse pointer
matlab.graphics.axis.PolarAxes,DeleteFcn,Deletion function
matlab.graphics.axis.PolarAxes,FontAngle,Character slant
matlab.graphics.axis.PolarAxes,FontName,Font name
matlab.graphics.axis.PolarAxes,FontSize,Font size
matlab.graphics.axis.PolarAxes,FontSizeMode,Selection mode for font size
matlab.graphics.axis.PolarAxes,FontSmoothing,Font smoothing
matlab.graphics.axis.PolarAxes,FontUnits,Font size units
matlab.graphics.axis.PolarAxes,FontWeight,Character thickness
matlab.graphics.axis.PolarAxes,GridAlpha,Grid-line transparency
matlab.graphics.axis.PolarAxes,GridAlphaMode,Selection mode for GridAlpha
matlab.graphics.axis.PolarAxes,GridColor,Color of grid lines
matlab.graphics.axis.PolarAxes,GridColorMode,Property for setting grid color
matlab.graphics.axis.PolarAxes,GridLineStyle,Line style for grid lines
matlab.graphics.axis.PolarAxes,HandleVisibility,Visibility of object handle
matlab.graphics.axis.PolarAxes,HitTest,Response to captured mouse clicks
matlab.graphics.axis.PolarAxes,InnerPosition,Inner size and location
matlab.graphics.axis.PolarAxes,Interactions,Interactions
matlab.graphics.axis.PolarAxes,Interruptible,Callback interruption
matlab.graphics.axis.PolarAxes,Layer,Placement of grid lines and tick marks
matlab.graphics.axis.PolarAxes,Layout,Layout options
matlab.graphics.axis.PolarAxes,Legend,Legend associated with the axes
matlab.graphics.axis.PolarAxes,LineStyleOrder,Line style order
matlab.graphics.axis.PolarAxes,LineStyleOrderIndex,Line style order index
matlab.graphics.axis.PolarAxes,LineWidth,Width of circular and angle lines
matlab.graphics.axis.PolarAxes,MinorGridAlpha,Minor grid line transparency
matlab.graphics.axis.PolarAxes,MinorGridAlphaMode,Selection mode for MinorGridAlpha
matlab.graphics.axis.PolarAxes,MinorGridColor,Color of minor grid lines
matlab.graphics.axis.PolarAxes,MinorGridColorMode,Property for setting minor grid color
matlab.graphics.axis.PolarAxes,MinorGridLineStyle,Line style for minor grid lines
matlab.graphics.axis.PolarAxes,NextPlot,Properties to reset
matlab.graphics.axis.PolarAxes,NextSeriesIndex,SeriesIndex value for next object
matlab.graphics.axis.PolarAxes,OuterPosition,"Size and position of polar axes, including labels and margins"
matlab.graphics.axis.PolarAxes,Parent,Parent container
matlab.graphics.axis.PolarAxes,PickableParts,Ability to capture mouse clicks
matlab.graphics.axis.PolarAxes,Position,"Size and position of polar axes, not including labels or margins"
matlab.graphics.axis.PolarAxes,PositionConstraint,Position to hold constant
matlab.graphics.axis.PolarAxes,RAxis,Component that controls appearance and behavior of r-axis
matlab.graphics.axis.PolarAxes,RAxisLocation,Location of r-axis
matlab.graphics.axis.PolarAxes,RAxisLocationMode,Selection mode for RAxisLocation
matlab.graphics.axis.PolarAxes,RColor,Color of r-axis
matlab.graphics.axis.PolarAxes,RColorMode,Property for setting r-axis grid color
matlab.graphics.axis.PolarAxes,RDir,Direction of increasing values along r-axis
matlab.graphics.axis.PolarAxes,RGrid,Display of r-axis grid lines
matlab.graphics.axis.PolarAxes,RLim,Minimum and maximum radius limits
matlab.graphics.axis.PolarAxes,RLimMode,Selection mode for RLim
matlab.graphics.axis.PolarAxes,RMinorGrid,Display of r-axis minor grid lines
matlab.graphics.axis.PolarAxes,RMinorTick,Minor tick marks along r-axis
matlab.graphics.axis.PolarAxes,RTick,Radius tick values
matlab.graphics.axis.PolarAxes,RTickLabel,Radius tick labels
matlab.graphics.axis.PolarAxes,RTickLabelMode,Selection mode for RTickLabel
matlab.graphics.axis.PolarAxes,RTickLabelRotation,Rotation of r-axis tick labels
matlab.graphics.axis.PolarAxes,RTickMode,Selection mode for radius tick values
matlab.graphics.axis.PolarAxes,Selected,Selection state
matlab.graphics.axis.PolarAxes,SelectionHighlight,Display of selection handles
matlab.graphics.axis.PolarAxes,SortMethod,Order for rendering objects
matlab.graphics.axis.PolarAxes,Subtitle,Text object for subtitle
matlab.graphics.axis.PolarAxes,SubtitleFontWeight,Subtitle character thickness
matlab.graphics.axis.PolarAxes,Tag,Object identifier
matlab.graphics.axis.PolarAxes,ThetaAxis,Component that controls appearance and behavior of theta-axis
matlab.graphics.axis.PolarAxes,ThetaAxisUnits,Units for angle values
matlab.graphics.axis.PolarAxes,ThetaColor,Color of theta-axis
matlab.graphics.axis.PolarAxes,ThetaColorMode,Property for setting theta-axis grid color
matlab.graphics.axis.PolarAxes,ThetaDir,Direction of increasing angles
matlab.graphics.axis.PolarAxes,ThetaGrid,Display of theta-axis grid lines
matlab.graphics.axis.PolarAxes,ThetaLim,Minimum and maximum angle values
matlab.graphics.axis.PolarAxes,ThetaLimMode,Selection mode for ThetaLim
matlab.graphics.axis.PolarAxes,ThetaMinorGrid,Display of theta-axis minor grid lines
matlab.graphics.axis.PolarAxes,ThetaMinorTick,Minor tick marks between angle lines
matlab.graphics.axis.PolarAxes,ThetaTick,Angles at which to display lines
matlab.graphics.axis.PolarAxes,ThetaTickLabel,Labels for angle lines
matlab.graphics.axis.PolarAxes,ThetaTickLabelMode,Selection mode for ThetaTickLabel
matlab.graphics.axis.PolarAxes,ThetaTickMode,Selection mode for ThetaTick
matlab.graphics.axis.PolarAxes,ThetaZeroLocation,Location of the zero reference axis
matlab.graphics.axis.PolarAxes,TickDir,Tick mark direction
matlab.graphics.axis.PolarAxes,TickDirMode,Selection mode for TickDir
matlab.graphics.axis.PolarAxes,TickLabelInterpreter,Tick label interpreter
matlab.graphics.axis.PolarAxes,TickLength,Tick mark length
matlab.graphics.axis.PolarAxes,TightInset,Margins for text labels
matlab.graphics.axis.PolarAxes,Title,Text object for title
matlab.graphics.axis.PolarAxes,TitleFontSizeMultiplier,Scale factor for title font size
matlab.graphics.axis.PolarAxes,TitleFontWeight,Title character thickness
matlab.graphics.axis.PolarAxes,TitleHorizontalAlignment,Title and subtitle horizontal alignment
matlab.graphics.axis.PolarAxes,Toolbar,Data exploration toolbar
matlab.graphics.axis.PolarAxes,Type,Type of graphics object
matlab.graphics.axis.PolarAxes,Units,Position units
matlab.graphics.axis.PolarAxes,UserData,User data
matlab.graphics.axis.PolarAxes,Visible,State of visibility
matlab.graphics.axis.decorator.Baseline,BaseValue,Value of baseline
matlab.graphics.axis.decorator.Baseline,Children,Children
matlab.graphics.axis.decorator.Baseline,Color,Line color
matlab.graphics.axis.decorator.Baseline,LineStyle,Line style
matlab.graphics.axis.decorator.Baseline,LineWidth,Line width
matlab.graphics.axis.decorator.Baseline,Parent,Parent
matlab.graphics.axis.decorator.Baseline,Visible,Visibility
matlab.graphics.axis.decorator.CategoricalRuler,Categories,Categories plotted along axis
matlab.graphics.axis.decorator.CategoricalRuler,Children,Ruler children
matlab.graphics.axis.decorator.CategoricalRuler,Color,Color of axis line and labels
matlab.graphics.axis.decorator.CategoricalRuler,Direction,Direction of increasing values
matlab.graphics.axis.decorator.CategoricalRuler,FontAngle,Text character slant
matlab.graphics.axis.decorator.CategoricalRuler,FontName,Font name
matlab.graphics.axis.decorator.CategoricalRuler,FontSize,Font size
matlab.graphics.axis.decorator.CategoricalRuler,FontSmoothing,Text antialiasing
matlab.graphics.axis.decorator.CategoricalRuler,FontWeight,Thickness of text characters
matlab.graphics.axis.decorator.CategoricalRuler,Label,Axis label
matlab.graphics.axis.decorator.CategoricalRuler,LabelHorizontalAlignment,Axis label horizontal alignment
matlab.graphics.axis.decorator.CategoricalRuler,Limits,First and last categories displayed along axis
matlab.graphics.axis.decorator.CategoricalRuler,LimitsChangedFcn,Axis limits changed callback
matlab.graphics.axis.decorator.CategoricalRuler,LimitsMode,Selection mode for Limits property
matlab.graphics.axis.decorator.CategoricalRuler,LineWidth,Width of axis line and tick marks
matlab.graphics.axis.decorator.CategoricalRuler,MinorTick,Minor tick mark display
matlab.graphics.axis.decorator.CategoricalRuler,MinorTickValues,Minor tick mark locations
matlab.graphics.axis.decorator.CategoricalRuler,MinorTickValuesMode,Selection mode for MinorTickValues property
matlab.graphics.axis.decorator.CategoricalRuler,Parent,Ruler parent
matlab.graphics.axis.decorator.CategoricalRuler,Scale,Scale of values along axis
matlab.graphics.axis.decorator.CategoricalRuler,TickDirection,Tick mark direction
matlab.graphics.axis.decorator.CategoricalRuler,TickDirectionMode,Selection mode for TickDirection property
matlab.graphics.axis.decorator.CategoricalRuler,TickLabelColor,Tick label color
matlab.graphics.axis.decorator.CategoricalRuler,TickLabelInterpreter,Tick label interpreter
matlab.graphics.axis.decorator.CategoricalRuler,TickLabelRotation,Rotation of tick labels
matlab.graphics.axis.decorator.CategoricalRuler,TickLabelRotationMode,Selection mode for TickLabelRotation property
matlab.graphics.axis.decorator.CategoricalRuler,TickLabels,Tick mark labels
matlab.graphics.axis.decorator.CategoricalRuler,TickLabelsMode,Selection mode for TickLabels property
matlab.graphics.axis.decorator.CategoricalRuler,TickLength,Tick mark length
matlab.graphics.axis.decorator.CategoricalRuler,TickValues,Tick mark locations along the axis
matlab.graphics.axis.decorator.CategoricalRuler,TickValuesMode,Selection mode for TickValues property
matlab.graphics.axis.decorator.CategoricalRuler,Visible,Axis visibility
matlab.graphics.axis.decorator.DatetimeRuler,Children,Ruler children
matlab.graphics.axis.decorator.DatetimeRuler,Color,Color of axis line and labels
matlab.graphics.axis.decorator.DatetimeRuler,Direction,Direction of increasing values
